,PostalCode,Bedrooms,CheaperRent,MedianRent,HigherRent
397,2041,4,1500,1750,2038
398,2041,-1,800,1073,1488
399,2041,2,750,800,935
400,2041,3,1100,1225,1500
401,2041,4,1500,1600,2050
402,2041,-1,836,1000,1288
403,2041,-1,645,780,850
404,2041,1,514,663,776
405,2041,2,758,800,875
406,2042,-1,476,650,898
407,2042,0,350,420,460
408,2042,1,400,500,598
409,2042,2,710,795,865
410,2042,3,950,1050,1200
411,2042,4,1225,1350,1463
412,2042,-1,700,900,1175
413,2042,1,360,480,570
414,2042,2,750,825,900
415,2042,3,993,1078,1200
416,2042,4,1278,1350,1488
417,2042,-1,328,390,453
418,2042,0,260,355,400
419,2042,-1,773,895,1050
420,2042,2,795,860,900
421,2042,3,918,1050,1250
422,2042,-1,450,550,675
423,2042,0,370,430,480
424,2042,1,406,508,599
425,2042,2,645,750,813
426,2043,-1,720,830,970
427,2043,0,750,865,950
428,2043,1,640,700,750
429,2043,2,824,900,980
430,2043,3,1070,1200,1300
431,2043,-1,750,850,980
432,2043,2,760,840,880
433,2043,-1,843,1150,1400
434,2043,-1,700,778,950
435,2043,0,750,865,950
436,2043,1,640,700,750
437,2043,2,900,950,1000
438,2044,-1,693,850,1000
439,2044,1,350,520,620
440,2044,2,738,825,931
441,2044,3,850,990,1053
442,2044,4,1025,1300,1375
443,2044,-1,700,875,1100
444,2044,3,800,950,1028
445,2044,-1,600,800,950
446,2044,1,350,490,605
447,2044,2,800,870,950
448,2045,-1,580,720,950
449,2045,2,544,605,668
450,2045,-1,788,950,1200
451,2045,-1,525,555,638
452,2045,2,525,555,650
453,2046,-1,640,750,900
454,2046,1,580,600,640
455,2046,2,650,700,800
456,2046,3,850,950,1265
457,2046,4,1200,1423,1700
458,2046,-1,800,1000,1395
459,2046,2,680,780,899
460,2046,3,828,975,1338
461,2046,4,1225,1450,1700
462,2046,-1,679,760,843
463,2046,2,693,720,810
464,2046,-1,610,695,800
465,2046,1,600,600,640
466,2046,2,635,700,795
467,2046,3,850,900,1135
468,2047,-1,636,750,901
469,2047,1,500,620,650
470,2047,2,621,750,849
471,2047,3,890,995,1250
472,2047,-1,750,890,1300
473,2047,-1,620,750,860
474,2047,1,495,635,650
475,2047,2,608,715,820
476,2047,3,828,950,1050
477,2048,-1,473,640,933
478,2048,1,400,460,600
479,2048,2,630,700,850
480,2048,3,1000,1150,1220
481,2048,-1,838,980,1200
482,2048,3,1000,1143,1215
483,2048,-1,455,580,650
484,2048,1,400,475,600
485,2048,2,585,663,744
486,2049,-1,468,620,800
487,2049,1,335,475,575
488,2049,2,650,750,848
489,2049,3,848,950,1050
490,2049,-1,330,785,1009
491,2049,1,280,305,330
492,2049,2,708,790,838
493,2049,3,850,950,1050
494,2049,-1,475,600,700
495,2049,1,450,500,600
496,2049,2,650,750,850
497,2050,-1,621,750,879
498,2050,1,550,650,725
499,2050,2,800,875,990
500,2050,3,996,1150,1295
501,2050,-1,643,823,1075
502,2050,2,795,825,905
503,2050,-1,620,725,830
504,2050,1,550,650,745
505,2050,2,815,900,990
506,2060,-1,600,700,875
507,2060,0,433,500,583
508,2060,1,550,640,700
509,2060,2,750,825,920
510,2060,3,1125,1200,1375
511,2060,-1,890,1200,1500
512,2060,3,1195,1350,1520
513,2060,-1,594,693,826
514,2060,0,439,513,586
515,2060,1,550,630,700
516,2060,2,750,825,920
517,2060,3,1100,1200,1250
518,2061,-1,650,753,1000
519,2061,1,595,690,770
520,2061,2,756,940,1173
521,2061,3,1200,1295,1725
522,2061,-1,755,1000,1295
523,2061,-1,650,750,996
524,2061,1,603,695,768
525,2061,2,750,950,1180
526,2061,3,1200,1398,1688
527,2062,-1,554,680,864
528,2062,1,473,550,608
529,2062,2,600,700,780
530,2062,3,900,950,1050
531,2062,-1,800,1050,1150
532,2062,-1,538,635,750
533,2062,1,480,550,630
534,2062,2,593,670,760
535,2063,-1,665,1150,1550
536,2063,-1,1200,1550,1700
537,2063,-1,588,680,795
538,2064,-1,600,650,750
539,2064,1,503,550,600
540,2064,2,630,650,700
541,2064,3,850,950,1100
542,2064,-1,650,870,1300
543,2064,-1,600,650,700
544,2064,1,540,575,610
545,2064,2,630,650,696
546,2065,-1,650,800,1000
547,2065,0,440,550,620
548,2065,1,550,650,720
549,2065,2,740,883,1029
550,2065,3,988,1200,1400
551,2065,4,1269,1500,1833
552,2065,-1,816,1000,1200
553,2065,2,833,900,1000
554,2065,3,950,1170,1250
555,2065,4,1269,1500,1725
556,2065,-1,894,1100,1200
557,2065,3,1000,1150,1200
558,2065,-1,640,760,950
559,2065,0,436,545,598
560,2065,1,550,650,720
561,2065,2,735,875,1040
562,2065,3,1000,1250,1595
563,2066,-1,580,675,825
564,2066,1,520,580,650
565,2066,2,600,700,780
566,2066,3,810,900,1000
