,PostalCode,MedianRent,bedrooms,Affordability
211,2330,515.0,3,1
212,2333,410.0,3,1
213,2335,495.0,3,1
214,2337,460.0,3,1
215,2340,417.5,3,1
216,2350,425.0,3,1
217,2360,375.0,3,1
218,2365,370.0,3,1
219,2370,355.0,3,1
220,2372,380.0,3,1
221,2380,445.0,3,1
222,2390,450.0,3,1
223,2400,350.0,3,1
224,2420,495.0,3,1
225,2427,480.0,3,1
226,2428,550.0,3,1
227,2430,450.0,3,1
228,2431,475.0,3,1
229,2440,430.0,3,1
230,2443,500.0,3,1
231,2444,543.0,3,1
232,2445,550.0,3,1
233,2446,495.0,3,1
234,2447,500.0,3,1
235,2448,502.5,3,1
236,2450,591.6666666666666,3,1
237,2452,576.5,3,1
238,2454,580.0,3,1
239,2455,497.5,3,1
240,2456,580.0,3,1
241,2460,430.0,3,1
242,2463,477.5,3,1
243,2464,557.5,3,1
244,2470,450.0,3,1
245,2473,570.0,3,1
246,2474,450.0,3,1
247,2477,595.0,3,1
248,2478,657.5,3,1
249,2479,895.0,3,3
250,2480,483.3333333333333,3,1
251,2481,941.6666666666666,3,3
252,2482,700.0,3,2
253,2483,750.0,3,3
254,2484,660.0,3,1
255,2485,744.5,3,3
256,2486,683.3333333333334,3,2
257,2487,841.6666666666666,3,3
258,2488,790.0,3,3
259,2489,682.5,3,2
260,2500,693.25,3,2
261,2502,550.0,3,1
262,2505,550.0,3,1
263,2506,560.0,3,1
264,2508,755.0,3,3
265,2515,850.0,3,3
266,2517,750.0,3,3
267,2518,650.0,3,1
268,2519,620.0,3,1
269,2525,630.0,3,1
270,2526,575.0,3,1
271,2527,625.3333333333334,3,1
272,2528,587.5,3,1
273,2529,650.0,3,1
274,2530,603.3333333333334,3,1
275,2533,676.6666666666666,3,2
276,2534,650.0,3,1
277,2535,665.0,3,1
278,2536,531.5,3,1
279,2537,542.5,3,1
280,2539,527.5,3,1
281,2540,500.0,3,1
282,2541,500.0,3,1
283,2546,512.5,3,1
284,2548,601.6666666666666,3,1
285,2549,550.0,3,1
286,2550,512.5,3,1
287,2557,627.5,3,1
288,2558,515.0,3,1
289,2560,500.0,3,1
290,2564,480.0,3,1
291,2565,600.0,3,1
292,2566,515.0,3,1
293,2567,580.0,3,1
294,2570,600.0,3,1
295,2571,550.0,3,1
296,2573,520.0,3,1
297,2575,575.0,3,1
298,2576,650.0,3,1
299,2577,550.0,3,1
300,2579,540.0,3,1
301,2580,450.0,3,1
302,2582,550.0,3,1
303,2590,360.0,3,1
304,2594,360.0,3,1
305,2620,620.0,3,1
307,2630,500.0,3,1
308,2640,435.0,3,1
309,2641,420.0,3,1
310,2646,377.5,3,1
311,2650,450.0,3,1
312,2663,380.0,3,1
313,2666,340.0,3,1
314,2671,395.0,3,1
315,2680,421.6666666666667,3,1
316,2700,370.0,3,1
317,2705,382.5,3,1
318,2710,375.0,3,1
319,2720,400.0,3,1
320,2731,457.5,3,1
321,2745,572.5,3,1
322,2747,500.0,3,1
323,2749,530.0,3,1
324,2750,498.75,3,1
325,2752,515.0,3,1
326,2753,532.5,3,1
327,2754,535.0,3,1
328,2756,550.0,3,1
329,2759,557.5,3,1
330,2760,503.3333333333333,3,1
331,2761,545.0,3,1
332,2762,650.0,3,1
333,2763,586.6666666666666,3,1
334,2765,647.5,3,1
335,2766,540.0,3,1
336,2767,530.0,3,1
337,2768,675.0,3,2
338,2769,727.5,3,3
339,2770,438.3333333333333,3,1
340,2774,606.5,3,1
341,2777,530.0,3,1
342,2779,520.0,3,1
343,2780,540.0,3,1
344,2782,537.5,3,1
345,2785,498.0,3,1
346,2787,400.0,3,1
347,2790,402.5,3,1
348,2794,350.0,3,1
349,2795,450.0,3,1
350,2800,480.0,3,1
351,2820,412.5,3,1
352,2821,400.0,3,1
353,2830,435.0,3,1
354,2835,275.0,3,1
355,2850,492.5,3,1
356,2870,380.0,3,1
357,2871,372.5,3,1
358,2880,320.0,3,1
