,Unnamed: 0.1,Unnamed: 0,Origin,Destination,TravelTime
61,,,2821,2000,21704.826
62,,,2790,2000,10299.926
63,,,2333,2000,12200.634
64,,,2820,2000,17160.076
65,,,2340,2000,17525.092
66,,,2641,2000,20288.941
67,,,2680,2000,25090.76
68,,,2350,2000,22236.773
69,,,2460,2000,24844.812
70,,,2440,2000,19971.262
71,,,2640,2000,20127.748
72,,,2830,2000,19169.426
73,,,2770,2000,2518.818
74,,,2380,2000,18107.678
75,,,2795,2000,14780.933
76,,,2390,2000,21475.324
77,,,2650,2000,17440.455
78,,,2580,2000,8037.805
79,,,2474,2000,30656.043
80,,,2430,2000,12570.293
81,,,2470,2000,30165.385
82,,,2731,2000,33158.906
83,,,2337,2000,12652.503
84,,,2326,2000,6530.665
85,,,2431,2000,17464.309
86,,,2463,2000,26220.828
87,,,2564,2000,2841.097
88,,,2325,2000,7157.447
89,,,2800,2000,13272.701
90,,,2427,2000,14283.56
91,,,2327,2000,6305.362
92,,,2480,2000,29788.955
93,,,2850,2000,13133.059
94,,,2446,2000,18497.533
95,,,2420,2000,10884.044
96,,,2335,2000,7277.086
97,,,2455,2000,19752.518
98,,,2785,2000,7793.768
99,,,2750,2000,2832.951
100,,,2540,2000,7460.973
101,,,2262,2000,4596.208
102,,,2747,2000,2545.566
103,,,2630,2000,15423.562
104,,,2560,2000,4438.443
105,,,2168,2000,2807.895
106,,,2541,2000,9607.475
107,,,2443,2000,13710.48
108,,,2447,2000,19760.555
109,,,2324,2000,9881.354
110,,,2263,2000,5299.991
111,,,2448,2000,19021.646
112,,,2760,2000,2571.094
113,,,2320,2000,6849.991
114,,,2550,2000,19983.006
115,,,2546,2000,16318.415
116,,,2264,2000,5238.18
117,,,2330,2000,9283.13
118,,,2566,2000,2940.553
119,,,2166,2000,2265.614
120,,,2752,2000,3806.65
121,,,2558,2000,3106.134
122,,,2265,2000,6272.729
123,,,2573,2000,4674.782
124,,,2779,2000,4155.769
125,,,2283,2000,5663.987
126,,,2321,2000,7569.874
127,,,2323,2000,6741.603
128,,,2322,2000,6472.809
129,,,2258,2000,4074.073
130,,,2259,2000,4869.112
131,,,2539,2000,11854.097
132,,,2777,2000,3530.422
133,,,2767,2000,2231.72
134,,,2317,2000,8729.941
135,,,2319,2000,8508.432
136,,,2749,2000,3409.911
137,,,2536,2000,13866.192
138,,,2753,2000,4261.468
139,,,2754,2000,3694.821
140,,,2782,2000,4807.271
141,,,2579,2000,7111.884
142,,,2766,2000,2144.322
143,,,2780,2000,6918.277
144,,,2537,2000,15285.844
145,,,2444,2000,14949.346
146,,,2761,2000,2412.366
147,,,2148,2000,1980.698
148,,,2756,2000,4912.919
149,,,2549,2000,20668.355
150,,,2428,2000,12391.362
151,,,2147,2000,2147.974
152,,,2505,2000,5430.136
153,,,2445,2000,14582.465
154,,,2577,2000,6095.506
155,,,2318,2000,7580.411
156,,,2571,2000,5955.662
157,,,2502,2000,5075.015
158,,,2582,2000,11603.53
159,,,2163,2000,2054.125
160,,,2464,2000,25384.973
161,,,2165,2000,2128.491
162,,,2759,2000,2541.592
163,,,2506,2000,4941.163
164,,,2299,2000,6511.916
165,,,2250,2000,4306.906
166,,,2256,2000,4070.623
167,,,2164,2000,2428.324
168,,,2473,2000,25878.461
169,,,2170,2000,2433.088
170,,,2261,2000,5192.125
171,,,2745,2000,3064.286
172,,,2575,2000,6402.544
173,,,2526,2000,5309.774
174,,,2284,2000,6144.984
175,,,2452,2000,19894.982
176,,,2177,2000,2522.806
177,,,2281,2000,5719.515
178,,,2161,2000,1851.602
179,,,2307,2000,6650.375
180,,,2456,2000,22364.723
181,,,2454,2000,20731.986
182,,,2567,2000,3296.137
183,,,2285,2000,6185.917
184,,,2763,2000,2368.425
185,,,2528,2000,5467.859
186,,,2287,2000,6463.622
187,,,2146,2000,2128.519
188,,,2450,2000,24354.92
189,,,2315,2000,9316.758
190,,,2477,2000,27417.482
191,,,2280,2000,6276.763
192,,,2173,2000,10314.172
193,,,2298,2000,6615.548
194,,,2570,2000,5146.932
195,,,2176,2000,2420.6
196,,,2565,2000,2698.47
197,,,2143,2000,1869.586
198,,,2548,2000,20779.021
199,,,2530,2000,5284.544
200,,,2295,2000,7247.766
201,,,2290,2000,6583.805
202,,,2774,2000,3305.216
203,,,2167,2000,2838.958
